championid1,championid2,championid3,championid4,championid5,championid6,championid7,championid8,championid9,championid10,152
30,91,523,412,86,104,57,235,223,142,True
39,111,142,236,245,91,110,78,76,432,True
22,12,38,104,266,516,64,429,412,7,True
5,68,50,555,59,875,432,105,81,245,True
39,134,523,64,25,142,497,21,164,58,True
523,432,64,517,23,81,350,105,60,875,True
115,235,266,421,58,164,110,43,517,875,True
523,412,64,58,429,235,223,145,875,517,True
203,56,21,43,126,24,5,201,523,68,True
82,122,68,202,5,31,240,235,55,154,True
555,235,81,60,164,142,421,110,82,412,True
58,106,245,80,235,81,350,875,69,104,True
875,111,21,28,39,236,517,412,79,110,True
142,76,57,110,412,60,126,236,266,111,True
236,266,350,126,76,141,235,23,131,81,True
134,555,24,104,21,163,497,145,72,39,True
25,421,114,69,115,4,44,84,429,48,True
875,21,432,60,58,79,39,235,64,115,True
31,76,111,39,875,79,126,58,412,222,True
107,131,267,119,203,236,43,81,245,41,True
875,111,119,24,55,142,412,51,60,236,True
2,111,21,164,134,59,223,119,99,39,True
78,412,236,2,68,107,79,131,111,119,True
86,111,119,4,245,223,7,64,110,68,True
203,117,21,8,106,2,142,350,516,81,True
236,142,350,107,2,106,516,64,131,21,True
7,21,126,40,60,39,498,64,142,43,True
22,201,240,64,142,429,114,517,68,111,True
64,89,134,236,8,145,7,2,111,516,True
64,7,58,43,110,517,268,875,235,104,True
266,60,89,875,145,79,106,111,523,157,True
105,235,43,64,41,555,89,110,8,121,True
68,114,235,223,64,110,350,80,163,84,True
266,517,245,111,523,223,26,235,64,122,True
53,145,84,64,127,142,429,421,350,81,True
516,432,64,39,21,350,81,75,157,60,True
245,64,432,81,266,145,111,76,875,58,True
51,875,223,64,105,145,429,111,5,245,True
80,12,421,145,68,58,131,81,517,223,True
20,236,266,126,235,57,2,105,350,81,True
43,110,7,164,76,236,15,350,64,127,True
429,104,518,875,21,235,60,23,22,245,True
8,79,58,350,21,41,145,516,201,245,True
498,517,412,246,266,875,68,81,48,7,True
105,18,412,875,79,58,497,429,421,142,True
21,39,59,142,267,2,127,429,350,875,True
